iter	RMSE
214	2.84432274
215	2.836372523
216	2.828863007
217	2.822378939
218	2.813529063
219	2.80913173
220	2.801133231
221	2.792813973
222	2.789315451
223	2.783960927
224	2.775783653
225	2.772117988
226	2.767214923
227	2.764275783
228	2.758189643
229	2.754313264
230	2.749767752
231	2.741896638
232	2.738217174
233	2.735685465
234	2.731978678
235	2.722581011
236	2.715996318
237	2.711261506
238	2.703425828
239	2.699102015
240	2.697470714
241	2.69355076
242	2.685941711
243	2.68391369
244	2.682156024
245	2.672919725
246	2.66609726
247	2.663140407
248	2.65731127
249	2.653140804
250	2.645020333
251	2.636764284
252	2.630642377
253	2.624420789
254	2.616653039
255	2.614365621
256	2.610604346
257	2.607537668
258	2.604365759
259	2.600574341
260	2.592112476
261	2.589872096
262	2.587645248
263	2.584919245
264	2.577112612
265	2.573862125
266	2.563884782
267	2.560809888
268	2.553585828
269	2.546287613
270	2.541651427
271	2.531924373
272	2.525509848
273	2.523539734
274	2.519899986
275	2.513856346
276	2.508252874
277	2.50226531
278	2.496625196
279	2.488704506
280	2.480997188
281	2.478048105
282	2.474937136
283	2.472169581
284	2.464976364
285	2.455640657
286	2.451442374
287	2.445949036
288	2.443205722
289	2.440224906
290	2.437350982
291	2.43469277
292	2.42752403
293	2.421002411
294	2.413450425
295	2.406807719
296	2.402660298
297	2.400744176
298	2.39695743
299	2.39343763
300	2.386974469
301	2.3808041
302	2.373050828
303	2.366899179
304	2.363287691
305	2.360254044
306	2.354196712
307	2.347071308
308	2.34371504
309	2.339034017
310	2.33128391
311	2.327371479
312	2.322287557
313	2.31722807
314	2.312878669
315	2.306693585
316	2.305054417
317	2.298636772
318	2.293649601
319	2.291514221
320	2.288623588
321	2.285423594
322	2.278968703
323	2.271495245
324	2.267074509
325	2.261156845
326	2.260467462
327	2.257373025
328	2.249689015
329	2.248032551
330	2.243977593
331	2.241457943
332	2.235159047
333	2.2323691
334	2.225375324
335	2.221010772
336	2.215226057
337	2.209605474
338	2.203649559
339	2.200611504
340	2.195278629
341	2.189589433
342	2.18501685
343	2.182545054
344	2.176294374
345	2.174483595
346	2.171244888
347	2.167660335
348	2.160678225
349	2.154907289
350	2.150444046
351	2.147868051
352	2.143887012
353	2.139626103
354	2.137733883
355	2.131872184
356	2.13121714
357	2.127610813
358	2.12591856
359	2.118964487
360	2.11568407
361	2.11157332
362	2.110187428
363	2.105019914
364	2.102850004
365	2.098453339
366	2.097826928
367	2.091739596
368	2.087366601
369	2.080850275
370	2.076151777
371	2.072323219
372	2.070512386
373	2.06634497
374	2.06438517
375	2.061320379
376	2.057290728
377	2.052482605
378	2.051209216
379	2.047234839
380	2.041714643
381	2.041111392
382	2.038845598
383	2.034939328
384	2.030233214
385	2.026922211
386	2.024447343
387	2.020934385
388	2.018095305
389	2.016597848
390	2.011681619
391	2.007120747
392	2.003080475
393	2.000348032
394	1.995758269
395	1.992109541
396	1.990165702
397	1.988903909
398	1.987650477
399	1.982659925
400	1.978177602
401	1.976510421
402	1.97014694
403	1.965395222
404	1.96291739
405	1.959706989
406	1.957606393
407	1.953282774
408	1.950513758
409	1.947804081
410	1.943202688
411	1.941565846
412	1.938733713
413	1.93581517
414	1.933570945
415	1.93180349
416	1.927440488
417	1.925990567
418	1.922039222
419	1.920100408
420	1.918172171
421	1.914966298
422	1.914397163
423	1.910255431
424	1.907985895
425	1.905634579
426	1.900104182
427	1.897073457
428	1.894240112
429	1.890791495
430	1.886753463
431	1.885186572
432	1.881376553
433	1.877133728
434	1.875822295
435	1.871211418
436	1.869728003
437	1.864775942
438	1.862023278
439	1.859244891
440	1.858010823
441	1.854179385
442	1.851842533
443	1.848719069
444	1.844628764
445	1.840294571
446	1.837208476
447	1.836155581
448	1.832068253
449	1.82744374
450	1.825199763
451	1.821619976
452	1.819493241
453	1.815857273
454	1.812737298
455	1.810267928
456	1.807554735
457	1.80443199
458	1.803414175
459	1.799734836
460	1.799171851
461	1.798533331
462	1.796065265
463	1.793409822
464	1.792786228
465	1.788152373
466	1.785979593
467	1.78058525
468	1.780052472
469	1.775580809
470	1.772279009
471	1.769626125
472	1.767612877
473	1.763886692
474	1.762022752
475	1.757919552
476	1.755210893
477	1.75138042
478	1.749763241
479	1.747676789
480	1.745935826
481	1.74062224
482	1.738754078
483	1.734284147
484	1.730797773
485	1.727766943
486	1.725743828
487	1.723207844
488	1.720537841
489	1.717362332
490	1.716097267
491	1.713920728
492	1.709615094
493	1.705836193
494	1.702640235
495	1.69853908
496	1.694998969
497	1.692263547
498	1.687857297
499	1.686500011
500	1.685501907
501	1.683110578
502	1.680199244
503	1.677714343
504	1.674138336
505	1.672428251
506	1.668636544
507	1.666773809
508	1.664255633
509	1.662198273
510	1.658436592
511	1.656184516
512	1.654569588
513	1.651522764
514	1.647432441
515	1.645123059
516	1.642248871
517	1.639914114
518	1.636615107
519	1.635418947
520	1.6335362
521	1.631960718
522	1.630468984
523	1.629186487
524	1.627755187
525	1.625945689
526	1.622663541
527	1.621175179
528	1.619613114
529	1.616310697
530	1.615713346
531	1.612346759
532	1.610034553
533	1.607223797
534	1.603933458
535	1.602195125
536	1.598787704
537	1.595656441
538	1.591253357
539	1.590980249
540	1.589236942
541	1.586260582
542	1.58537598
543	1.58264369
544	1.580459922
545	1.578518095
546	1.577271865
547	1.575429052
548	1.572213719
549	1.568534172
550	1.567232544
551	1.565055758
552	1.562075625
553	1.559927366
554	1.558659835
555	1.555403146
556	1.554388477
557	1.55358776
558	1.55065167
559	1.549344494
560	1.546017856
561	1.54318932
562	1.540006472
563	1.536952548
564	1.536178141
565	1.53461657
566	1.531876488
567	1.528544269
568	1.527570908
569	1.525904088
570	1.524693174
571	1.521355874
572	1.518469373
573	1.515826667
574	1.51392938
575	1.51304093
576	1.50982653
577	1.508596039
578	1.507492534
579	1.50502289
580	1.50182331
581	1.499925209
582	1.498257704
583	1.497568434
584	1.494864193
585	1.493393744
586	1.492348932
587	1.48928575
588	1.485676669
589	1.483992454
590	1.480431701
591	1.478744508
592	1.475683625
593	1.473731094
594	1.472352671
595	1.468847895
596	1.466447062
597	1.463529969
598	1.460325428
599	1.458545093
600	1.455737413
601	1.453138119
602	1.450844874
603	1.449821029
604	1.447200977
605	1.444360195
606	1.443372307
607	1.440720469
608	1.438735192
609	1.436110437
610	1.433389888
611	1.431992244
612	1.431005394
613	1.428895675
614	1.42583783
615	1.422720359
616	1.41994079
617	1.419044903
618	1.41741112
619	1.41492546
620	1.411715219
621	1.410537803
622	1.409540502
623	1.406785549
624	1.405542777
625	1.404624807
626	1.4022297
627	1.40081096
628	1.399589604
629	1.397131454
630	1.39509981
631	1.392199729
632	1.389941589
633	1.388739532
634	1.386902536
635	1.385546128
636	1.384970908
637	1.38206994
638	1.379805936
639	1.377711414
640	1.375726441
641	1.373070405
642	1.372603721
643	1.370979094
644	1.369249718
645	1.368106145
646	1.366591607
647	1.36477281
648	1.362449259
649	1.361402425
650	1.360948529
651	1.358530505
652	1.357008716
653	1.356563963
654	1.354634568
655	1.354199304
656	1.352542675
657	1.352316008
658	1.350576624
659	1.348508207
660	1.345442567
661	1.343945731
662	1.34247941
663	1.340055931
664	1.33780529
665	1.335016645
666	1.332321462
667	1.331946742
668	1.331014458
669	1.328079594
670	1.327124809
671	1.324440794
672	1.322161505
673	1.320392644
674	1.318325881
675	1.315504083
676	1.313844368
677	1.311158216
678	1.310436804
679	1.308851188
680	1.306621151
681	1.304402885
682	1.301990415
683	1.3011708
684	1.299705422
685	1.297201249
686	1.295870355
687	1.294502243
688	1.293723592
689	1.291024348
690	1.28884035
691	1.286739809
692	1.286223992
693	1.28391387
694	1.282329872
695	1.280621059
696	1.279330749
697	1.278915496
698	1.276217236
699	1.274008211
700	1.272568694
701	1.271398264
702	1.26932904
703	1.266342356
704	1.264626323
705	1.263398248
706	1.263176573
707	1.260668528
708	1.258034754
709	1.256333605
710	1.254445365
711	1.253019518
712	1.252382563
713	1.250856475
714	1.249759135
715	1.247373048
716	1.244349432
717	1.243082168
718	1.240915413
719	1.239901239
720	1.238839109
721	1.237774674
722	1.234930671
723	1.232808131
724	1.23080445
725	1.229671323
726	1.228657882
727	1.227840387
728	1.225484629
729	1.225078122
730	1.223202308
731	1.220933312
732	1.220577511
733	1.218984075
734	1.218507223
735	1.215927287
736	1.213897549
737	1.213214555
738	1.211998658
739	1.211600618
740	1.210040271
741	1.209652731
742	1.207553382
743	1.205329202
744	1.203733501
745	1.202459315
746	1.200845842
747	1.200438504
748	1.197804251
749	1.196536456
750	1.193984428
751	1.192795527
752	1.190508836
753	1.188296465
754	1.186352998
755	1.185966583
756	1.184479858
757	1.184094205
758	1.182856433
759	1.182479557
760	1.180546145
761	1.179461257
762	1.178471933
763	1.176307807
764	1.17413211
765	1.17237981
766	1.170385356
767	1.169060012
768	1.167158877
769	1.165528708
770	1.1646909
771	1.164041484
772	1.161524183
773	1.159071099
774	1.15799921
775	1.15603884
776	1.155670744
777	1.153877457
778	1.152717221
779	1.151851761
780	1.150060682
781	1.149847232
782	1.148422297
783	1.146968179
784	1.145037021
785	1.144555741
786	1.142394621
787	1.14043605
788	1.138421587
789	1.136756502
790	1.134584869
791	1.133188872
792	1.131665372
793	1.130654468
794	1.12972207
795	1.127654936
796	1.127225554
797	1.125037572
798	1.123898365
799	1.1225016
800	1.122158388
801	1.120100619
802	1.118383105
803	1.117861957
804	1.116723617
805	1.11552797
806	1.112958751
807	1.110990851
808	1.110652321
809	1.10873582
810	1.106793937
811	1.104994357
812	1.104358331
813	1.101847707
814	1.099588492
815	1.098666902
816	1.097019743
817	1.096638088
818	1.094607256
819	1.092613185
820	1.090987273
821	1.089054529
822	1.08873986
823	1.088241997
824	1.086077176
825	1.084328422
826	1.08403904
827	1.082065309
828	1.080218509
829	1.078404392
830	1.077427417
831	1.07533489
832	1.074833438
833	1.073108851
834	1.071701893
835	1.071127604
836	1.069487067
837	1.068230518
838	1.066508585
839	1.065900311
840	1.064525813
841	1.062528748
842	1.060845621
843	1.060533863
844	1.059267913
845	1.058971399
846	1.058469877
847	1.057395303
848	1.056336873
849	1.054774424
850	1.05372028
851	1.05243226
852	1.0506746
853	1.048974519
854	1.048149706
855	1.047851626
856	1.046737879
857	1.046222226
858	1.045528303
859	1.043348302
860	1.041931938
861	1.04033988
862	1.04004123
863	1.038147128
864	1.037860233
865	1.037047732
866	1.035641704
867	1.033773836
868	1.03253589
869	1.0318865
870	1.031300357
871	1.029708748
872	1.028691931
873	1.026904248
874	1.026440177
875	1.024874364
876	1.023370614
877	1.022692773
878	1.022236823
879	1.021393679
880	1.020050477
881	1.019408697
882	1.017895205
883	1.016026337
884	1.015368328
885	1.014627679
886	1.012438261
887	1.012157546
888	1.011892401
889	1.010671005
890	1.008792345
891	1.008121044
892	1.006418754
893	1.005678167
894	1.004631043
895	1.003411998
896	1.001854439
897	1.000258094
898	0.9993557657
899	0.9984496543
900	0.9966884247
901	0.9962351069
902	0.9959855803
903	0.9940159057
904	0.9930082219
905	0.9913824332
906	0.9907030684
907	0.9899526472
908	0.9885637987
909	0.9869389372
910	0.9857412016
911	0.9854861705
912	0.9845209623
913	0.9836574246
914	0.9819432753
915	0.9815128583
916	0.9798043371
917	0.9784576576
918	0.9783083628
919	0.9780599005
920	0.9761785122
921	0.9746179964
922	0.9731103553
923	0.9714833054
924	0.9704615551
925	0.9694824711
926	0.9685519544
927	0.9669648359
928	0.9663425941
929	0.9647017942
930	0.9643148739
931	0.9638417008
932	0.9625846962
933	0.96218553
934	0.9606805608
935	0.9591534244
936	0.9575852011
937	0.9563189068
938	0.9548654586
939	0.9533496393
940	0.9516322266
941	0.9499591699
942	0.9482980006
943	0.9476291273
944	0.9456103654
945	0.9447401378
946	0.9437661234
947	0.9423398373
948	0.940382281
949	0.9390228033
950	0.9380931742
951	0.9364453821
952	0.935267289
953	0.9339095855
954	0.9329832532
955	0.931543706
956	0.9303192431
957	0.9290277414
958	0.9287757151
959	0.9276332248
960	0.9261763354
961	0.9259229978
962	0.9241453414
963	0.923454209
964	0.9218457151
965	0.920591916
966	0.9190469316
967	0.9184549199
968	0.9182163923
969	0.9165797913
970	0.9151415848
971	0.9136893712
972	0.912949272
973	0.9117216953
974	0.9113638027
975	0.9098730366
976	0.9088614161
977	0.9076593969
978	0.9057608136
979	0.9049480564
980	0.9036506925
981	0.9029279611
982	0.9020197858
983	0.9006540229
984	0.8991113189
985	0.8982273454
986	0.8974054069
987	0.8960080686
988	0.8957699055
989	0.8943966918
990	0.8934130611
991	0.8925763221
992	0.8908613607
993	0.889705885
994	0.8893790357
995	0.8890569484
996	0.8877336664
997	0.8871918165
998	0.8858233379
999	0.8845695888
